phaora-hardscape-001.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNkW5yRFNMHUB2TfkLo'}, defaulting to outdoor
phaora-hardscape-116.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNoaavt94fNEibxpUWS'}, defaulting to outdoor
phaora-hardscape-117.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNobmN82AXhUVuSWZCH'}, defaulting to outdoor
phaora-hardscape-118.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNocZF4eGEbUtfEa9MP'}, defaulting to outdoor
phaora-hardscape-119.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNoe623nnp2HQGuqeLr'}, defaulting to outdoor
phaora-hardscape-120.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNoejTqL3nWVLptyLLB'}, defaulting to outdoor
phaora-hardscape-121.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNogEkWHsRZsjy8sWVS'}, defaulting to outdoor
phaora-hardscape-122.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNohBoaRE8NmaHqtqe3'}, defaulting to outdoor
phaora-hardscape-123.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNoiRxVXNYEaBL3HscL'}, defaulting to outdoor
phaora-hardscape-124.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNojoK6un6dYa7uVG1v'}, defaulting to outdoor
phaora-hardscape-125.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNokk7rJD6BSweNBQYu'}, defaulting to outdoor
phaora-hardscape-126.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNondE42mimadvbo2AF'}, defaulting to outdoor
phaora-hardscape-127.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNoovcJFVcCkhuu2pms'}, defaulting to outdoor
phaora-hardscape-128.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNopkDv84mXhVXhCDj3'}, defaulting to outdoor
phaora-hardscape-129.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNoqUdFPTywkNAofZZ9'}, defaulting to outdoor
phaora-hardscape-130.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNorSuzNcuLWmSYJXDp'}, defaulting to outdoor
phaora-hardscape-131.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNotaQQFRfxUi18e2RL'}, defaulting to outdoor
phaora-hardscape-132.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNovK5srsgeVNsi785o'}, defaulting to outdoor
phaora-hardscape-133.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNowAg8Z1ArDsTr4kGD'}, defaulting to outdoor
phaora-hardscape-134.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNoxAhn3s8r77YyR4UV'}, defaulting to outdoor
phaora-hardscape-135.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNoyDi1NsBjZPqyzGub'}, defaulting to outdoor
phaora-hardscape-136.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNp1kWEmTPBbu5ZUBkV'}, defaulting to outdoor
phaora-hardscape-137.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNp3BpkeKqHGHEPBmgA'}, defaulting to outdoor
phaora-hardscape-138.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNp6AR4kZ9Zdggoxuwz'}, defaulting to outdoor
phaora-hardscape-139.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNp7U3jiQcSnzHK8fEm'}, defaulting to outdoor
phaora-hardscape-140.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNp8jhRX1FRThmtt1Pe'}, defaulting to outdoor
phaora-hardscape-141.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNpAcK3L5F4ey8uiRQN'}, defaulting to outdoor
phaora-hardscape-142.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNpCPDiaKEwSxLWcJDT'}, defaulting to outdoor
phaora-hardscape-143.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNpFC8w1HKXCC4Vapau'}, defaulting to outdoor
phaora-hardscape-144.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNpHUJxUBTQfrD3J6i1'}, defaulting to outdoor
phaora-hardscape-145.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNpKX6FLGXTc2TMDoD8'}, defaulting to outdoor
phaora-hardscape-146.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNpMMUWsBB7j7fsUqWS'}, defaulting to outdoor
phaora-hardscape-147.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNpN5shdTRW2ZcZrafq'}, defaulting to outdoor
phaora-hardscape-148.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNpP7PojepXSteAc6uG'}, defaulting to outdoor
